Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-4.449417268501e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-3.447032636778e-04
12,0.000000000000e+00
13,-1.663956701985e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-6.196120054694e-04
18,0.000000000000e+00
19,-3.486293396024e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-8.280674524862e-04
24,0.000000000000e+00
25,-5.752337703296e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-9.756383165809e-04
30,0.000000000000e+00
31,-8.319181653685e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.070120794347e-03
36,0.000000000000e+00
37,-1.106619212448e-03
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.121538567120e-03
42,-0.000000000000e+00
43,-1.390057955225e-03
44,-0.000000000000e+00
45,-0.000000000000e+00
46,-0.000000000000e+00
47,-1.142142800975e-03
48,0.000000000000e+00
49,-1.676296664467e-03
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.146412146728e-03
