Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-3.266977620210e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-2.494782909978e-04
12,0.000000000000e+00
13,-1.187991861895e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-4.276770702820e-04
18,0.000000000000e+00
19,-2.405683520336e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-5.345963378525e-04
24,0.000000000000e+00
25,-3.801573958062e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-5.702360937093e-04
30,0.000000000000e+00
31,-5.227164192336e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-5.702360937093e-04
36,0.000000000000e+00
37,-6.652754426609e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-5.702360937093e-04
42,-0.000000000000e+00
43,-8.078344660882e-04
44,-0.000000000000e+00
45,-0.000000000000e+00
46,-0.000000000000e+00
47,-5.702360937093e-04
48,0.000000000000e+00
49,-9.503934895156e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-5.702360937093e-04
