Global DOF,Value
0,0.000000000000e+00
1,-1.627604166667e-01
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-2.278645833333e+00
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,-8.138020833333e+00
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,0.000000000000e+00
18,0.000000000000e+00
19,-1.790364583333e+01
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,0.000000000000e+00
24,0.000000000000e+00
25,-3.157552083333e+01
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,0.000000000000e+00
30,0.000000000000e+00
31,-4.915364583333e+01
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,0.000000000000e+00
36,0.000000000000e+00
37,-7.063802083333e+01
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,0.000000000000e+00
42,0.000000000000e+00
43,-9.602864583333e+01
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,0.000000000000e+00
48,0.000000000000e+00
49,-5.745442708333e+01
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,0.000000000000e+00
