Condensed DOF,Value
0,0.000000000000e+00
1,-2.276961698927e-04
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-8.909938964211e-04
6,0.000000000000e+00
7,-7.925563930575e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.354310722560e-03
12,0.000000000000e+00
13,-1.516381890210e-03
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.532509501844e-03
18,0.000000000000e+00
19,-2.292253393781e-03
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.568149257701e-03
