Condensed DOF,Value
0,0.000000000000e+00
1,-1.187991861895e-04
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-4.276770702821e-04
6,0.000000000000e+00
7,-3.801573958063e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-5.702360937094e-04
12,0.000000000000e+00
13,-6.652754426610e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-5.702360937094e-04
18,0.000000000000e+00
19,-9.503934895157e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-5.702360937094e-04
