element_id,element_type
0,Timoshenko-3D
1,Timoshenko-3D
2,Timoshenko-3D
3,Timoshenko-3D
4,Timoshenko-3D
5,Timoshenko-3D
6,Timoshenko-3D
7,Timoshenko-3D
8,Timoshenko-3D
9,Timoshenko-3D
10,Timoshenko-3D
11,Timoshenko-3D
12,Timoshenko-3D
13,Timoshenko-3D
14,Timoshenko-3D
15,Timoshenko-3D
16,Timoshenko-3D
17,Timoshenko-3D
18,Timoshenko-3D
19,Timoshenko-3D
20,Timoshenko-3D
21,Timoshenko-3D
22,Timoshenko-3D
23,Timoshenko-3D
24,Timoshenko-3D
25,Timoshenko-3D
26,Timoshenko-3D
27,Timoshenko-3D
28,Timoshenko-3D
29,Timoshenko-3D
30,Timoshenko-3D
31,Timoshenko-3D
32,Timoshenko-3D
33,Timoshenko-3D
34,Timoshenko-3D
35,Timoshenko-3D
36,Timoshenko-3D
37,Timoshenko-3D
38,Timoshenko-3D
39,Timoshenko-3D
40,Timoshenko-3D
41,Timoshenko-3D
42,Timoshenko-3D
43,Timoshenko-3D
44,Timoshenko-3D
45,Timoshenko-3D
46,Timoshenko-3D
47,Timoshenko-3D
48,Timoshenko-3D
49,Timoshenko-3D
50,Timoshenko-3D
51,Timoshenko-3D
52,Timoshenko-3D
53,Timoshenko-3D
54,Timoshenko-3D
55,Timoshenko-3D
56,Timoshenko-3D
57,Timoshenko-3D
58,Timoshenko-3D
59,Timoshenko-3D
60,Timoshenko-3D
61,Timoshenko-3D
62,Timoshenko-3D
63,Timoshenko-3D
64,Timoshenko-3D
65,Timoshenko-3D
66,Timoshenko-3D
67,Timoshenko-3D
68,Timoshenko-3D
69,Timoshenko-3D
70,Timoshenko-3D
71,Timoshenko-3D
72,Timoshenko-3D
73,Timoshenko-3D
74,Timoshenko-3D
75,Timoshenko-3D
76,Timoshenko-3D
77,Timoshenko-3D
78,Timoshenko-3D
79,Timoshenko-3D
80,Timoshenko-3D
81,Timoshenko-3D
82,Timoshenko-3D
83,Timoshenko-3D
84,Timoshenko-3D
85,Timoshenko-3D
86,Timoshenko-3D
87,Timoshenko-3D
88,Timoshenko-3D
89,Timoshenko-3D
90,Timoshenko-3D
91,Timoshenko-3D
92,Timoshenko-3D
93,Timoshenko-3D
94,Timoshenko-3D
95,Timoshenko-3D
96,Timoshenko-3D
97,Timoshenko-3D
98,Timoshenko-3D
99,Timoshenko-3D
100,Timoshenko-3D
101,Timoshenko-3D
102,Timoshenko-3D
103,Timoshenko-3D
104,Timoshenko-3D
105,Timoshenko-3D
106,Timoshenko-3D
107,Timoshenko-3D
108,Timoshenko-3D
109,Timoshenko-3D
110,Timoshenko-3D
111,Timoshenko-3D
112,Timoshenko-3D
113,Timoshenko-3D
114,Timoshenko-3D
115,Timoshenko-3D
116,Timoshenko-3D
117,Timoshenko-3D
118,Timoshenko-3D
119,Timoshenko-3D
120,Timoshenko-3D
121,Timoshenko-3D
122,Timoshenko-3D
123,Timoshenko-3D
124,Timoshenko-3D
125,Timoshenko-3D
126,Timoshenko-3D
127,Timoshenko-3D
