Condensed DOF,Value
0,0.000000000000e+00
1,-2.766927083333e-01
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.009114583333e+00
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,-2.229817708333e+00
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,0.000000000000e+00
18,0.000000000000e+00
19,-3.938802083333e+00
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,0.000000000000e+00
24,0.000000000000e+00
25,-6.136067708333e+00
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,0.000000000000e+00
30,0.000000000000e+00
31,-8.821614583333e+00
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,0.000000000000e+00
36,0.000000000000e+00
37,-1.199544270833e+01
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,0.000000000000e+00
42,0.000000000000e+00
43,-1.565755208333e+01
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,0.000000000000e+00
48,0.000000000000e+00
49,-1.980794270833e+01
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,0.000000000000e+00
54,0.000000000000e+00
55,-2.444661458333e+01
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,0.000000000000e+00
60,0.000000000000e+00
61,-2.957356770833e+01
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,0.000000000000e+00
66,0.000000000000e+00
67,-3.518880208333e+01
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,0.000000000000e+00
72,0.000000000000e+00
73,-4.129231770833e+01
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,0.000000000000e+00
78,0.000000000000e+00
79,-4.788411458333e+01
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,0.000000000000e+00
84,0.000000000000e+00
85,-5.496419270833e+01
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,0.000000000000e+00
90,0.000000000000e+00
91,-3.009440104167e+01
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,0.000000000000e+00
